Data Point,Voltage
1,4.159
2,4.158
3,4.158
4,4.159
5,4.158
6,4.158
7,4.159
8,4.159
9,4.158
10,4.158
11,4.159
12,4.158
13,4.159
14,4.160
15,4.159
16,4.158
17,4.158
18,4.158
19,4.159
20,4.159
21,4.159
22,4.158
23,4.159
24,4.159
25,4.158
26,4.158
27,4.158
28,4.158
29,4.158
30,4.158
31,4.158
32,4.158
33,4.157
34,4.157
35,4.157
36,4.157
37,4.157
38,4.157
39,4.159
40,4.158
41,4.157
42,4.157
43,4.157
44,4.158
45,4.158
46,4.158
47,4.157
48,4.157
49,4.156
50,4.156
51,4.156
52,4.156
53,4.156
54,4.156
55,4.156
56,4.156
57,4.156
58,4.156
59,4.156
60,4.156
61,4.156
62,4.156
63,4.156
64,4.156
65,4.155
66,4.155
67,4.155
68,4.154
69,4.155
70,4.154
71,4.154
72,4.154
73,4.154
74,4.155
75,4.154
76,4.155
77,4.155
78,4.154
79,4.154
80,4.154
81,4.154
82,4.154
83,4.154
84,4.156
85,4.155
86,4.155
87,4.154
88,4.155
89,4.154
90,4.154
91,4.153
92,4.154
93,4.154
94,4.154
95,4.153
96,4.154
97,4.155
98,4.154
99,4.154
100,4.154
101,4.154
102,4.154
103,4.154
104,4.154
105,4.154
106,4.154
107,4.154
108,4.154
109,4.155
110,4.155
111,4.155
112,4.154
113,4.154
114,4.154
115,4.153
116,4.154
117,4.154
118,4.154
119,4.154
120,4.154
121,4.154
122,4.154
123,4.154
124,4.154
125,4.153
126,4.154
127,4.154
128,4.154
129,4.154
130,4.154
131,4.153
132,4.153
133,4.153
134,4.153
135,4.153
136,4.153
137,4.153
138,4.153
139,4.153
140,4.153
141,4.153
142,4.153
143,4.153
144,4.153
145,4.153
146,4.152
147,4.153
148,4.152
149,4.153
150,4.152
151,4.154
152,4.154
153,4.154
154,4.154
155,4.153
156,4.152
157,4.152
158,4.152
159,4.152
160,4.152
161,4.152
162,4.152
163,4.153
164,4.152
165,4.152
166,4.152
167,4.152
168,4.152
169,4.152
170,4.152
171,4.152
172,4.152
173,4.152
174,4.152
175,4.152
176,4.152
177,4.152
178,4.152
179,4.152
180,4.152
181,4.152
182,4.152
183,4.152
184,4.152
185,4.152
186,4.152
187,4.152
188,4.152
189,4.152
190,4.151
191,4.151
192,4.151
193,4.151
194,4.152
195,4.152
196,4.153
197,4.153
198,4.153
199,4.153
200,4.153
201,4.153
202,4.153
203,4.153
204,4.154
205,4.153
206,4.152
207,4.152
208,4.152
209,4.153
210,4.152
211,4.152
212,4.152
213,4.152
214,4.153
215,4.154
216,4.153
217,4.153
218,4.153
219,4.153
220,4.153
221,4.152
222,4.152
223,4.151
224,4.151
225,4.153
226,4.153
227,4.152
228,4.153
229,4.153
230,4.153
231,4.153
232,4.152
233,4.153
234,4.152
235,4.152
236,4.152
237,4.150
238,4.151
239,4.151
240,4.152
241,4.152
242,4.151
243,4.150
244,4.151
245,4.151
246,4.151
247,4.152
248,4.152
249,4.151
250,4.151
251,4.151
252,4.150
253,4.150
254,4.151
255,4.152
256,4.151
257,4.151
258,4.151
259,4.150
260,4.150
261,4.151
262,4.151
263,4.151
264,4.151
265,4.151
266,4.151
267,4.151
268,4.150
269,4.150
270,4.150
271,4.150
272,4.150
273,4.150
274,4.150
275,4.149
276,4.149
277,4.150
278,4.150
279,4.151
280,4.151
281,4.151
282,4.151
283,4.150
284,4.150
285,4.149
286,4.149
287,4.151
288,4.151
289,4.150
290,4.151
291,4.151
292,4.150
293,4.150
294,4.151
295,4.151
296,4.151
297,4.151
298,4.150
299,4.151
300,4.151
301,4.151
302,4.151
303,4.151
304,4.150
305,4.151
306,4.150
307,4.150
308,4.150
309,4.149
310,4.150
311,4.150
312,4.150
313,4.148
314,4.149
315,4.150
316,4.150
317,4.150
318,4.150
319,4.150
320,4.149
321,4.151
322,4.150
323,4.150
324,4.150
325,4.150
326,4.150
327,4.149
328,4.149
329,4.150
330,4.148
331,4.148
332,4.149
333,4.149
334,4.149
335,4.149
336,4.148
337,4.149
338,4.150
339,4.149
340,4.149
341,4.149
342,4.148
343,4.149
344,4.149
345,4.148
346,4.149
347,4.149
348,4.148
349,4.148
350,4.148
351,4.149
352,4.150
353,4.150
354,4.149
355,4.148
356,4.149
357,4.148
358,4.147
359,4.147
360,4.148
361,4.148
362,4.148
363,4.147
364,4.148
365,4.149
366,4.150
367,4.149
368,4.149
369,4.149
370,4.149
371,4.149
372,4.149
373,4.149
374,4.148
375,4.147
376,4.148
377,4.149
378,4.149
379,4.149
380,4.147
381,4.148
382,4.149
383,4.149
384,4.148
385,4.149
386,4.149
387,4.149
388,4.149
389,4.148
390,4.148
391,4.148
392,4.148
393,4.148
394,4.147
395,4.147
396,4.148
397,4.149
398,4.149
399,4.148
400,4.149
401,4.149
402,4.149
403,4.148
404,4.146
405,4.146
406,4.146
407,4.146
408,4.146
409,4.146
410,4.146
411,4.146
412,4.145
413,4.146
414,4.146
415,4.146
416,4.146
417,4.146
418,4.147
419,4.147
420,4.146
421,4.147
422,4.146
423,4.146
424,4.146
425,4.146
426,4.147
427,4.146
428,4.147
429,4.146
430,4.147
431,4.148
432,4.147
433,4.147
434,4.146
435,4.146
436,4.147
437,4.149
438,4.147
439,4.146
440,4.146
441,4.146
442,4.146
443,4.148
444,4.149
445,4.148
446,4.148
447,4.146
448,4.146
449,4.146
450,4.146
451,4.145
452,4.144
453,4.145
454,4.145
455,4.145
456,4.145
457,4.145
458,4.145
459,4.145
460,4.145
461,4.145
462,4.144
463,4.145
464,4.146
465,4.146
466,4.146
467,4.146
468,4.145
469,4.145
470,4.145
471,4.145
472,4.145
473,4.145
474,4.145
475,4.145
476,4.145
477,4.144
478,4.145
479,4.145
480,4.145
481,4.145
482,4.145
483,4.145
484,4.145
485,4.144
486,4.145
487,4.144
488,4.144
489,4.145
490,4.144
491,4.145
492,4.145
493,4.144
494,4.144
495,4.144
496,4.145
497,4.145
498,4.145
499,4.144
500,4.145
501,4.146
502,4.145
503,4.144
504,4.143
505,4.144
506,4.144
507,4.143
508,4.144
509,4.144
510,4.144
511,4.143
512,4.144
513,4.144
514,4.143
515,4.143
516,4.143
517,4.143
518,4.143
519,4.144
520,4.143
521,4.143
522,4.144
523,4.144
524,4.144
525,4.144
526,4.143
527,4.143
528,4.144
529,4.144
530,4.144
531,4.143
532,4.143
533,4.143
534,4.143
535,4.143
536,4.143
537,4.144
538,4.144
539,4.145
540,4.143
541,4.144
542,4.144
543,4.144
544,4.144
545,4.144
546,4.143
547,4.143
548,4.143
549,4.145
550,4.145
551,4.144
552,4.145
553,4.143
554,4.144
555,4.143
556,4.143
557,4.143
558,4.143
559,4.143
560,4.143
561,4.143
562,4.142
563,4.143
564,4.143
565,4.143
566,4.142
567,4.142
568,4.143
569,4.143
570,4.143
571,4.143
572,4.142
573,4.143
574,4.143
575,4.143
576,4.143
577,4.143
578,4.143
579,4.142
580,4.142
581,4.142
582,4.143
583,4.143
584,4.143
585,4.142
586,4.142
587,4.142
588,4.142
589,4.142
590,4.142
591,4.142
592,4.143
593,4.143
594,4.143
595,4.143
596,4.142
597,4.142
598,4.144
599,4.144
600,4.142
601,4.142
602,4.142
603,4.142
604,4.142
605,4.142
606,4.142
607,4.142
608,4.142
609,4.142
610,4.142
611,4.142
612,4.142
613,4.142
614,4.142
615,4.141
616,4.142
617,4.143
618,4.141
619,4.141
620,4.141
621,4.141
622,4.143
623,4.141
624,4.141
625,4.142
626,4.142
627,4.141
628,4.141
629,4.142
630,4.142
631,4.141
632,4.141
633,4.142
634,4.141
635,4.141
636,4.140
637,4.140
638,4.142
639,4.141
640,4.140
641,4.142
642,4.143
643,4.142
644,4.143
645,4.141
646,4.140
647,4.142
648,4.143
649,4.142
650,4.142
651,4.142
652,4.142
653,4.142
654,4.142
655,4.142
656,4.140
657,4.140
658,4.143
659,4.142
660,4.141
661,4.142
662,4.142
663,4.142
664,4.142
665,4.142
666,4.140
667,4.138
668,4.137
669,4.137
670,4.137
671,4.137
672,4.137
673,4.137
674,4.137
675,4.137
676,4.138
677,4.138
678,4.137
679,4.138
680,4.137
681,4.137
682,4.137
683,4.137
684,4.137
685,4.137
686,4.137
687,4.136
688,4.136
689,4.137
690,4.139
691,4.139
692,4.139
693,4.138
694,4.136
695,4.136
696,4.136
697,4.136
698,4.136
699,4.136
700,4.136
701,4.136
702,4.136
703,4.136
704,4.136
705,4.136
706,4.136
707,4.136
708,4.136
709,4.136
710,4.136
711,4.136
712,4.136
713,4.136
714,4.137
715,4.137
716,4.137
717,4.137
718,4.137
719,4.136
