Data Point,Voltage
1,3.882
2,3.881
3,3.879
4,3.879
5,3.879
6,3.880
7,3.882
8,3.880
9,3.880
10,3.880
11,3.880
12,3.880
13,3.880
14,3.880
15,3.880
16,3.880
17,3.882
18,3.883
19,3.879
20,3.879
21,3.881
22,3.880
23,3.880
24,3.879
25,3.880
26,3.880
27,3.881
28,3.879
29,3.880
30,3.879
31,3.880
32,3.880
33,3.880
34,3.880
35,3.880
36,3.879
37,3.880
38,3.879
39,3.880
40,3.879
41,3.880
42,3.881
43,3.880
44,3.880
45,3.881
46,3.881
47,3.880
48,3.879
49,3.879
50,3.879
51,3.878
52,3.879
53,3.879
54,3.879
55,3.879
56,3.879
57,3.879
58,3.879
59,3.879
60,3.879
61,3.879
62,3.879
63,3.879
64,3.879
65,3.879
66,3.878
67,3.879
